delta_d_solvent,delta_p_solvent,delta_h_solvent,molar_volume_cm3_mol,delta_d_polymer,delta_p_polymer,delta_h_polymer,compatible
15.6,5.6,9.8,137.1,16.9,3.3,4.1,1
16.1,8.8,19.1,57.7,16.9,3.3,4.1,0
15.5,17.0,6.3,62.5,16.9,3.3,4.1,0
20.2,17.4,11.7,72.6,16.9,3.3,4.1,0
19.0,8.8,5.9,80.9,16.9,3.3,4.1,1
20.7,10.7,21.1,87.0,16.9,3.3,4.1,0
17.9,6.5,7.4,83.5,16.9,3.3,4.1,1
19.4,17.4,11.3,76.4,16.9,3.3,4.1,0
19.8,5.6,5.7,118.0,16.9,3.3,4.1,1
17.1,7.1,11.7,167.6,16.9,3.3,4.1,0
16.3,3.3,5.5,326.0,16.9,3.3,4.1,1
18.6,1.0,4.1,115.6,16.9,3.3,4.1,1
16.8,9.8,10.5,81.2,16.9,3.3,4.1,1
18.6,19.2,16.6,66.8,16.9,3.3,4.1,0
17.9,16.2,7.9,81.2,16.9,3.3,4.1,0
20.3,18.2,10.9,95.7,16.9,3.3,4.1,0
18.1,13.5,0.0,60.0,16.9,3.3,4.1,0
15.8,8.4,10.0,44.0,16.9,3.3,4.1,0
17.6,7.2,0.0,81.0,16.9,3.3,4.1,1
18.8,6.1,10.7,166.0,16.9,3.3,4.1,1
21.2,10.7,3.4,116.2,16.9,3.3,4.1,0
16.2,0.0,0.0,261.3,16.9,3.3,4.1,1
16.1,0.5,1.9,253.4,16.9,3.3,4.1,1
16.8,5.7,8.0,81.7,16.9,3.3,4.1,1
16.4,6.3,6.0,97.8,16.9,3.3,4.1,1
18.5,6.3,8.9,103.6,16.9,3.3,4.1,0
18.6,6.7,9.1,88.3,16.9,3.3,4.1,1
20.3,18.2,10.9,95.7,16.9,3.3,4.1,1
18.2,11.0,9.1,90.0,16.9,3.3,4.1,0
16.7,8.2,11.0,120.4,16.9,3.3,4.1,0
15.5,9.9,7.5,119.7,16.9,3.3,4.1,0
16.2,5.9,5.3,90.4,16.9,3.3,4.1,0
19.3,9.1,5.0,58.0,16.9,3.3,4.1,1
20.5,18.8,10.8,70.9,16.9,3.3,4.1,0
17.5,20.6,20.2,75.0,16.9,3.3,4.1,0
17.0,6.7,8.9,71.5,16.9,3.3,4.1,1
19.0,6.9,6.2,86.6,16.9,3.3,4.1,1
16.8,8.9,10.9,51.7,16.9,3.3,4.1,1
16.0,8.6,14.8,69.5,16.9,3.3,4.1,0
16.9,6.2,5.9,79.0,16.9,3.3,4.1,1
18.9,2.4,7.8,79.0,16.9,3.3,4.1,1
20.0,4.5,10.3,102.4,16.9,3.3,4.1,0
20.0,21.7,14.8,72.8,16.9,3.3,4.1,0
18.0,1.4,2.0,106.8,16.9,3.3,4.1,1
19.4,5.8,9.4,107.8,16.9,3.3,4.1,1
16.7,1.8,4.6,269.7,16.9,3.3,4.1,1
16.3,6.3,4.3,274.0,16.9,3.3,4.1,1
16.5,6.6,3.5,117.4,16.9,3.3,4.1,1
18.3,5.8,11.4,100.2,16.9,3.3,4.1,0
16.4,7.4,6.1,100.0,16.9,3.3,4.1,1
15.3,2.0,0.0,92.8,16.9,3.3,4.1,1
19.0,12.3,4.5,316.0,16.9,3.3,4.1,0
16.2,3.1,9.0,242.0,16.9,3.3,4.1,1
17.8,0.4,1.0,138.6,16.9,3.3,4.1,1
16.7,11.4,9.2,171.0,16.9,3.3,4.1,1
17.5,8.8,0.0,122.9,16.9,3.3,4.1,1
15.6,9.9,11.6,74.2,16.9,3.3,4.1,1
14.4,8.9,6.5,46.1,16.9,3.3,4.1,1
16.6,5.7,2.2,602.9,16.9,3.3,4.1,1
16.6,6.0,2.5,553.1,16.9,3.3,4.1,1
14.6,3.4,1.8,90.3,16.9,3.3,4.1,1
15.1,6.1,9.8,227.4,16.9,3.3,4.1,0
18.8,7.8,9.4,72.8,16.9,3.3,4.1,1
16.7,15.9,10.2,115.8,16.9,3.3,4.1,0
15.5,10.3,7.3,94.6,16.9,3.3,4.1,1
16.2,5.9,4.2,469.8,16.9,3.3,4.1,1
20.1,6.4,6.8,271.9,16.9,3.3,4.1,0
16.0,0.0,0.0,212.7,16.9,3.3,4.1,1
15.3,11.0,4.8,103.8,16.9,3.3,4.1,0
16.0,7.2,5.9,92.6,16.9,3.3,4.1,1
16.8,5.2,12.3,85.3,16.9,3.3,4.1,0
15.1,1.7,12.0,74.3,16.9,3.3,4.1,0
15.7,7.2,11.8,51.8,16.9,3.3,4.1,0
15.9,6.3,5.4,71.6,16.9,3.3,4.1,1
15.6,3.9,6.9,126.5,16.9,3.3,4.1,1
16.0,6.5,2.4,68.7,16.9,3.3,4.1,1
14.8,4.2,5.8,90.7,16.9,3.3,4.1,1
14.5,4.9,6.0,95.0,16.9,3.3,4.1,1
16.4,5.8,6.3,101.3,16.9,3.3,4.1,1
15.3,6.5,9.7,74.7,16.9,3.3,4.1,1
17.1,5.5,7.3,75.6,16.9,3.3,4.1,1
15.6,8.0,4.7,110.1,16.9,3.3,4.1,1
15.5,2.6,4.0,89.4,16.9,3.3,4.1,1
13.9,4.3,7.6,116.4,16.9,3.3,4.1,1
14.5,1.0,2.5,145.3,16.9,3.3,4.1,1
17.6,1.0,3.1,123.3,16.9,3.3,4.1,1
17.8,1.0,3.1,121.2,16.9,3.3,4.1,1
14.7,12.5,7.9,56.6,18.1,1.0,0.0,0
16.3,4.0,20.2,61.2,18.1,1.0,0.0,0
17.3,18.7,22.4,60.8,18.1,1.0,0.0,1
20.6,13.3,12.4,110.9,18.1,1.0,0.0,0
14.5,8.0,13.5,57.1,18.1,1.0,0.0,0
16.0,11.7,10.2,94.5,18.1,1.0,0.0,0
15.5,10.4,7.0,74.0,18.1,1.0,0.0,0
14.7,4.6,4.6,96.7,18.1,1.0,0.0,0
15.3,18.0,6.1,52.6,18.1,1.0,0.0,0
16.3,3.7,10.9,80.2,18.1,1.0,0.0,0
16.1,4.4,8.3,118.4,18.1,1.0,0.0,0
16.1,11.2,6.2,103.0,18.1,1.0,0.0,0
16.7,10.6,5.2,74.0,18.1,1.0,0.0,0
16.2,11.2,5.8,71.4,18.1,1.0,0.0,0
14.4,4.2,11.9,42.1,18.1,1.0,0.0,0
14.7,14.0,5.7,62.0,18.1,1.0,0.0,0
21.7,5.9,2.0,163.0,18.1,1.0,0.0,0
15.0,7.2,7.8,66.7,18.1,1.0,0.0,0
15.8,12.1,12.8,63.4,18.1,1.0,0.0,0
17.7,6.4,14.9,68.5,18.1,1.0,0.0,0
16.0,12.8,6.8,67.1,18.1,1.0,0.0,0
16.2,11.6,5.4,81.3,18.1,1.0,0.0,0
17.1,9.0,14.6,107.5,18.1,1.0,0.0,0
15.7,4.5,8.0,108.5,18.1,1.0,0.0,0
16.7,4.7,11.3,102.1,18.1,1.0,0.0,0
16.3,11.2,5.0,98.5,18.1,1.0,0.0,0
16.2,10.8,16.8,68.4,18.1,1.0,0.0,0
15.5,5.7,10.6,74.9,18.1,1.0,0.0,0
16.0,14.3,5.6,80.5,18.1,1.0,0.0,0
15.7,5.4,8.8,91.0,18.1,1.0,0.0,0
16.4,6.2,7.9,80.2,18.1,1.0,0.0,0
20.4,8.1,12.2,94.1,18.1,1.0,0.0,0
15.8,3.3,6.1,148.0,18.1,1.0,0.0,0
19.4,5.1,10.2,91.5,18.1,1.0,0.0,0
17.8,4.1,6.7,119.1,18.1,1.0,0.0,0
20.3,7.6,4.8,145.6,18.1,1.0,0.0,0
15.9,8.9,12.9,79.0,18.1,1.0,0.0,0
19.9,6.6,2.4,134.2,18.1,1.0,0.0,1
19.4,7.4,5.3,101.5,18.1,1.0,0.0,0
21.2,14.7,11.2,90.3,18.1,1.0,0.0,0
18.4,0.0,2.0,89.4,18.1,1.0,0.0,1
18.0,8.4,21.0,87.5,18.1,1.0,0.0,0
20.6,11.5,8.8,100.7,18.1,1.0,0.0,0
18.7,5.1,5.7,110.2,18.1,1.0,0.0,0
18.2,6.9,9.8,113.1,18.1,1.0,0.0,0
17.4,9.0,3.3,102.6,18.1,1.0,0.0,0
19.6,8.6,5.7,164.2,18.1,1.0,0.0,0
20.6,5.2,8.4,108.5,18.1,1.0,0.0,0
20.2,6.6,3.2,142.1,18.1,1.0,0.0,1
20.7,8.2,4.5,116.0,18.1,1.0,0.0,0
18.3,5.7,6.0,142.8,18.1,1.0,0.0,1
18.4,6.3,13.7,103.6,18.1,1.0,0.0,0
19.2,4.6,11.7,109.2,18.1,1.0,0.0,0
20.0,5.1,5.2,191.2,18.1,1.0,0.0,1
19.0,11.2,3.1,306.0,18.1,1.0,0.0,0
18.8,7.1,2.6,115.0,18.1,1.0,0.0,1
18.4,3.8,3.8,144.2,18.1,1.0,0.0,1
18.6,0.0,0.0,188.5,18.1,1.0,0.0,1
19.7,1.0,2.0,155.1,18.1,1.0,0.0,1
20.0,14.6,18.8,70.3,18.1,1.0,0.0,0
18.2,2.1,0.0,51.5,18.1,1.0,0.0,1
15.7,9.9,5.6,67.7,18.1,1.0,0.0,0
20.5,5.5,4.1,105.3,18.1,1.0,0.0,0
17.3,5.7,3.5,65.0,18.1,1.0,0.0,1
16.1,6.3,2.3,71.6,18.1,1.0,0.0,1
21.4,4.1,6.1,87.5,18.1,1.0,0.0,0
16.9,8.5,7.0,81.6,18.1,1.0,0.0,0
18.3,8.1,6.0,99.2,18.1,1.0,0.0,1
14.7,1.7,6.2,82.3,18.1,1.0,0.0,1
16.2,6.6,16.8,76.5,18.1,1.0,0.0,0
16.2,11.7,5.2,93.7,18.1,1.0,0.0,0
15.7,5.1,6.8,87.8,18.1,1.0,0.0,0
16.8,9.1,4.2,194.4,18.1,1.0,0.0,0
14.1,0.0,0.0,101.4,18.1,1.0,0.0,0
16.6,10.0,21.5,89.9,18.1,1.0,0.0,0
16.3,5.3,4.5,107.8,18.1,1.0,0.0,1
16.0,5.7,15.8,91.5,18.1,1.0,0.0,0
13.2,1.3,3.9,94.3,18.1,1.0,0.0,0
16.2,14.3,5.6,80.5,18.1,1.0,0.0,0
15.8,3.7,6.3,132.5,18.1,1.0,0.0,1
15.0,3.7,7.6,133.6,18.1,1.0,0.0,1
15.4,6.2,6.2,134.1,18.1,1.0,0.0,1
15.6,6.2,4.9,143.8,18.1,1.0,0.0,1
16.2,4.5,8.0,99.0,18.1,1.0,0.0,0
18.3,5.6,5.5,178.0,18.1,1.0,0.0,0
15.6,2.9,5.6,166.7,18.1,1.0,0.0,1
16.2,0.0,0.6,176.7,18.1,1.0,0.0,1
16.4,0.0,1.0,162.0,18.1,1.0,0.0,1
15.7,6.5,9.2,114.8,18.1,1.0,0.0,0
15.7,5.5,5.9,149.7,18.1,1.0,0.0,0
14.5,3.7,3.5,382.0,18.1,1.0,0.0,0
17.4,0.1,1.1,157.0,18.1,1.0,0.0,1
15.2,16.2,8.0,78.4,18.1,1.0,0.0,0
15.6,10.1,6.2,90.5,18.1,1.0,0.0,0
16.9,13.7,12.3,98.4,18.1,1.0,0.0,0
14.9,4.1,10.6,110.0,18.1,1.0,0.0,0
16.0,6.3,7.7,164.4,18.1,1.0,0.0,1
19.0,16.6,7.4,76.8,18.1,1.0,0.0,0
15.3,12.4,5.1,87.3,18.1,1.0,0.0,0
16.8,9.4,4.8,103.6,18.1,1.0,0.0,0
19.7,15.0,7.4,110.8,18.1,1.0,0.0,0
15.7,6.3,5.7,38.0,18.1,1.0,0.0,0
20.5,0.0,0.6,60.0,18.1,1.0,0.0,1
17.8,0.0,0.6,97.1,18.1,1.0,0.0,1
16.1,8.3,0.0,97.1,18.1,1.0,0.0,0
17.4,3.7,0.0,51.0,18.1,1.0,0.0,1
15.1,3.7,8.1,298.7,18.1,1.0,0.0,0
17.2,7.4,7.6,97.5,18.1,1.0,0.0,0
17.3,10.0,0.0,46.0,18.1,1.0,0.0,0
16.2,16.1,9.0,60.4,18.1,1.0,0.0,0
17.7,10.4,12.3,68.6,18.1,1.0,0.0,0
15.9,7.3,8.5,101.4,18.1,1.0,0.0,0
17.4,13.6,2.0,63.3,18.1,1.0,0.0,0
17.5,9.2,5.5,79.5,18.1,1.0,0.0,0
16.2,2.1,2.5,63.7,18.1,1.0,0.0,1
16.7,7.3,8.8,160.2,18.1,1.0,0.0,0
19.0,4.3,2.0,102.1,18.1,1.0,0.0,1
17.6,7.2,2.2,84.9,18.1,1.0,0.0,1
12.3,6.3,5.7,72.9,18.1,1.0,0.0,0
16.7,9.6,8.8,107.5,18.1,1.0,0.0,0
17.8,3.1,5.7,80.7,18.1,1.0,0.0,1
17.2,4.9,6.6,86.6,18.1,1.0,0.0,0
16.6,6.4,2.0,95.0,18.1,1.0,0.0,1
17.4,13.5,5.5,65.1,18.1,1.0,0.0,0
17.6,6.8,7.0,101.7,18.1,1.0,0.0,0
20.0,12.5,6.7,156.3,18.1,1.0,0.0,0
15.5,27.6,16.8,32.8,18.1,1.0,0.0,0
15.1,11.8,0.0,54.6,18.1,1.0,0.0,0
18.3,15.2,0.0,52.6,18.1,1.0,0.0,0
15.6,14.5,0.0,51.8,18.1,1.0,0.0,0
18.3,11.4,5.2,73.4,18.1,1.0,0.0,0
16.8,8.0,4.1,161.0,18.1,1.0,0.0,0
17.2,10.6,4.8,118.2,18.1,1.0,0.0,0
16.8,0.0,0.2,108.7,18.1,1.0,0.0,1
16.4,2.2,5.0,422.4,18.1,1.0,0.0,1
17.4,9.8,18.3,112.8,18.1,1.0,0.0,0
18.6,10.3,8.0,103.8,18.1,1.0,0.0,0
17.4,4.1,13.5,106.0,18.1,1.0,0.0,0
17.8,6.3,5.1,104.0,18.1,1.0,0.0,1
17.2,1.0,5.0,101.9,18.1,1.0,0.0,1
18.7,0.0,1.0,169.9,18.1,1.0,0.0,1
17.2,3.1,6.5,113.8,18.1,1.0,0.0,1
17.3,5.5,2.0,118.6,18.1,1.0,0.0,1
17.0,9.6,4.5,131.7,18.1,1.0,0.0,1
17.2,1.9,6.1,82.1,18.1,1.0,0.0,1
16.4,0.0,1.8,94.9,18.1,1.0,0.0,1
17.9,11.9,5.2,89.1,18.1,1.0,0.0,0
16.7,3.8,1.7,89.0,18.1,1.0,0.0,1
18.1,7.6,15.6,86.2,18.1,1.0,0.0,0
17.2,2.4,2.0,50.0,18.1,1.0,0.0,1
17.6,0.0,0.0,58.3,18.1,1.0,0.0,1
18.6,16.2,5.7,75.4,18.1,1.0,0.0,0
18.8,0.0,0.0,156.9,18.1,1.0,0.0,1
18.0,0.0,0.0,156.9,18.1,1.0,0.0,1
15.7,0.0,0.0,195.9,18.1,1.0,0.0,1
16.0,4.7,10.0,191.8,18.1,1.0,0.0,0
15.8,1.0,2.2,190.6,18.1,1.0,0.0,1
16.7,1.4,4.8,449.9,18.1,1.0,0.0,1
16.8,1.0,4.7,468.7,18.1,1.0,0.0,1
15.6,0.8,3.2,301.5,18.1,1.0,0.0,1
16.6,6.2,2.6,464.2,18.1,1.0,0.0,0
16.8,7.2,3.4,364.9,18.1,1.0,0.0,0
16.2,1.8,4.9,433.7,18.1,1.0,0.0,1
16.6,6.6,2.9,432.4,18.1,1.0,0.0,1
16.4,10.0,5.7,184.4,18.1,1.0,0.0,0
15.7,10.2,5.9,174.5,18.1,1.0,0.0,0
15.6,4.5,6.7,124.1,18.1,1.0,0.0,0
14.7,6.1,11.3,78.1,18.1,1.0,0.0,0
16.2,4.7,8.4,159.0,18.1,1.0,0.0,1
17.8,2.2,5.5,362.1,18.1,1.0,0.0,1
17.8,6.4,7.0,69.8,18.1,1.0,0.0,0
15.0,3.0,4.3,170.0,18.1,1.0,0.0,0
15.5,8.9,6.2,182.0,18.1,1.0,0.0,0
16.0,7.7,4.4,173.4,18.1,1.0,0.0,0
17.8,8.6,4.1,266.0,18.1,1.0,0.0,1
16.7,4.5,4.1,339.0,18.1,1.0,0.0,1
16.7,9.1,7.5,94.0,18.1,1.0,0.0,0
18.2,8.1,12.2,82.5,18.1,1.0,0.0,0
17.4,9.4,6.4,80.3,18.1,1.0,0.0,0
12.3,2.0,0.0,92.3,18.1,1.0,0.0,0
16.8,7.6,8.0,90.8,18.1,1.0,0.0,0
16.8,7.6,7.7,98.3,18.1,1.0,0.0,0
17.1,12.9,6.5,90.5,18.1,1.0,0.0,0
15.8,3.1,5.7,75.4,18.1,1.0,0.0,0
16.4,11.3,7.5,124.5,18.1,1.0,0.0,0
14.9,2.3,6.1,103.2,18.1,1.0,0.0,0
15.1,6.3,3.5,121.0,18.1,1.0,0.0,1
14.5,2.9,5.1,104.8,18.1,1.0,0.0,1
16.4,11.4,9.2,111.4,18.1,1.0,0.0,0
15.8,7.6,4.7,106.4,18.1,1.0,0.0,0
16.1,7.7,8.3,152.5,18.1,1.0,0.0,0
16.2,8.0,8.8,136.6,18.1,1.0,0.0,0
17.6,9.6,4.5,198.0,18.1,1.0,0.0,1
15.7,14.7,7.1,131.5,18.1,1.0,0.0,0
16.8,3.1,2.0,107.4,18.1,1.0,0.0,1
16.7,6.7,5.7,123.1,18.1,1.0,0.0,0
16.2,5.1,9.2,175.5,18.1,1.0,0.0,0
17.0,7.6,3.6,332.3,18.1,1.0,0.0,1
21.0,10.2,27.2,82.7,18.1,1.0,0.0,0
20.0,11.3,21.8,81.9,18.1,1.0,0.0,0
16.7,2.5,6.2,269.6,18.1,1.0,0.0,0
14.8,1.7,3.5,141.1,18.1,1.0,0.0,1
16.8,11.5,10.2,92.5,18.1,1.0,0.0,0
15.1,3.4,7.6,78.9,18.1,1.0,0.0,1
15.3,4.8,11.2,66.2,18.1,1.0,0.0,0
16.4,10.6,7.4,127.8,18.1,1.0,0.0,0
15.5,3.9,9.7,84.2,18.1,1.0,0.0,0
15.7,5.3,11.7,88.2,18.1,1.0,0.0,0
17.3,7.8,6.5,88.6,18.1,1.0,0.0,0
15.2,6.1,5.7,63.2,18.1,1.0,0.0,0
17.4,13.7,11.3,77.0,18.1,1.0,0.0,0
15.3,5.9,11.0,76.0,18.1,1.0,0.0,0
16.7,13.1,7.5,106.9,18.1,1.0,0.0,0
18.6,10.8,4.9,163.0,18.1,1.0,0.0,0
16.6,2.9,6.7,233.3,18.1,1.0,0.0,1
17.7,17.0,9.7,94.7,18.1,1.0,0.0,0
16.1,6.4,7.4,73.2,18.1,1.0,0.0,0
19.0,19.4,12.3,75.0,18.1,1.0,0.0,0
18.4,16.4,10.2,71.3,18.1,1.0,0.0,0
16.7,2.0,5.1,400.0,18.1,1.0,0.0,0
16.6,7.0,3.1,377.0,18.1,1.0,0.0,1
19.5,3.4,5.8,160.4,18.1,1.0,0.0,0
20.0,3.3,5.9,145.9,18.1,1.0,0.0,1
19.5,1.0,1.0,168.2,18.1,1.0,0.0,1
15.3,1.4,4.1,136.9,18.1,1.0,0.0,0
15.8,5.7,4.9,140.8,18.1,1.0,0.0,0
16.3,4.9,8.0,195.7,18.1,1.0,0.0,0
17.3,7.8,6.5,88.6,18.1,1.0,0.0,1
16.6,5.4,1.9,558.3,18.1,1.0,0.0,0
16.5,4.6,5.6,93.6,18.1,1.0,0.0,1
16.0,0.0,0.0,228.6,18.1,1.0,0.0,1
16.0,4.0,9.3,224.5,18.1,1.0,0.0,0
16.5,0.0,0.0,359.8,18.1,1.0,0.0,1
19.4,13.8,3.9,110.7,18.1,1.0,0.0,0
17.9,7.2,8.7,83.9,18.1,1.0,0.0,0
17.7,14.9,6.8,94.7,18.1,1.0,0.0,0
15.7,6.5,7.1,74.3,18.1,1.0,0.0,0
15.8,8.8,19.4,58.5,18.1,1.0,0.0,0
16.2,3.3,8.8,155.5,18.1,1.0,0.0,1
15.8,5.3,7.2,98.5,18.1,1.0,0.0,0
15.1,3.4,5.0,81.5,18.1,1.0,0.0,0
15.5,7.1,5.5,108.8,18.1,1.0,0.0,0
15.0,5.6,10.7,65.6,18.1,1.0,0.0,0
16.2,4.5,4.1,156.0,18.1,1.0,0.0,1
17.8,0.6,1.4,123.1,18.1,1.0,0.0,1
17.9,6.2,6.0,144.3,18.1,1.0,0.0,0
16.5,8.4,2.3,74.6,18.1,1.0,0.0,1
16.2,5.0,4.1,139.0,18.1,1.0,0.0,1
15.5,5.6,5.0,132.9,18.1,1.0,0.0,0
15.5,3.2,5.9,149.6,18.1,1.0,0.0,0
16.8,10.1,13.0,91.2,18.1,1.0,0.0,0
15.6,15.2,5.8,74.4,18.1,1.0,0.0,0
15.7,6.1,2.9,70.0,18.1,1.0,0.0,0
15.5,10.0,6.7,95.6,18.1,1.0,0.0,0
16.7,7.9,8.3,107.1,18.1,1.0,0.0,0
15.4,7.9,5.9,87.6,18.1,1.0,0.0,0
17.2,10.0,14.0,76.5,18.1,1.0,0.0,0
15.5,8.4,8.4,80.2,18.1,1.0,0.0,0
15.8,2.9,5.1,196.0,18.1,1.0,0.0,0
14.8,4.7,3.4,208.2,18.1,1.0,0.0,1
15.7,8.6,6.5,79.5,18.1,1.0,0.0,0
17.3,7.9,7.2,81.2,18.1,1.0,0.0,0
15.4,12.0,2.5,78.7,18.1,1.0,0.0,0
17.2,14.7,9.0,87.1,18.1,1.0,0.0,0
17.1,4.8,2.5,91.2,18.1,1.0,0.0,1
15.5,6.1,4.9,115.5,18.1,1.0,0.0,0
15.4,13.4,5.4,87.1,18.1,1.0,0.0,0
14.9,4.9,5.6,94.9,18.1,1.0,0.0,0
15.8,11.3,4.5,99.3,18.1,1.0,0.0,0
15.0,2.0,3.8,63.0,18.1,1.0,0.0,1
17.0,11.0,26.0,55.8,18.1,1.0,0.0,0
15.3,4.5,8.8,171.2,18.1,1.0,0.0,0
16.2,4.7,9.8,132.8,18.1,1.0,0.0,0
15.9,5.1,9.3,147.7,18.1,1.0,0.0,0
15.9,5.5,11.6,121.6,18.1,1.0,0.0,0
16.9,9.3,9.6,97.9,18.1,1.0,0.0,0
15.6,10.0,11.0,49.9,18.1,1.0,0.0,1
19.3,9.0,6.5,59.5,18.1,1.0,0.0,0
16.6,8.8,17.0,67.3,18.1,1.0,0.0,0
18.6,9.8,7.7,51.8,18.1,1.0,0.0,0
15.7,4.2,6.1,163.3,18.1,1.0,0.0,0
16.2,12.1,4.5,99.0,18.1,1.0,0.0,0
15.8,8.1,6.5,70.1,18.1,1.0,0.0,0
18.7,6.1,2.0,94.7,18.1,1.0,0.0,0
15.2,7.0,1.0,57.5,18.1,1.0,0.0,0
13.4,10.6,9.5,40.7,18.1,1.0,0.0,1
12.8,14.4,15.4,36.8,18.1,1.0,0.0,0
17.2,26.2,19.0,39.8,18.1,1.0,0.0,0
14.3,11.9,16.6,37.8,18.1,1.0,0.0,0
15.0,10.1,8.6,56.5,18.1,1.0,0.0,0
18.5,10.4,7.6,127.0,18.1,1.0,0.0,0
18.7,10.6,7.8,111.5,18.1,1.0,0.0,0
17.8,1.8,5.3,72.5,18.1,1.0,0.0,1
18.6,14.9,5.1,83.2,18.1,1.0,0.0,0
17.4,7.6,15.1,86.5,18.1,1.0,0.0,0
18.4,15.0,8.2,87.5,18.1,1.0,0.0,0
17.4,12.1,29.3,73.3,18.1,1.0,0.0,0
16.4,8.9,14.2,149.4,18.1,1.0,0.0,0
17.5,13.4,9.8,63.2,18.1,1.0,0.0,0
18.2,9.0,17.9,66.5,18.1,1.0,0.0,0
15.0,17.0,13.3,50.9,18.1,1.0,0.0,0
15.3,0.0,0.0,147.4,18.1,1.0,0.0,1
16.0,5.3,11.7,141.4,18.1,1.0,0.0,0
15.0,1.1,2.6,141.9,18.1,1.0,0.0,0
15.8,2.9,5.5,181.1,18.1,1.0,0.0,0
16.3,0.0,0.0,294.1,18.1,1.0,0.0,1
15.8,8.5,5.4,120.2,18.1,1.0,0.0,0
14.9,0.0,0.0,131.6,18.1,1.0,0.0,1
15.0,4.1,9.4,125.9,18.1,1.0,0.0,0
15.9,5.8,12.5,124.9,18.1,1.0,0.0,0
14.7,1.1,0.0,126.1,18.1,1.0,0.0,1
15.8,2.9,5.9,165.0,18.1,1.0,0.0,1
15.7,8.4,17.8,123.0,18.1,1.0,0.0,0
15.3,4.5,7.2,204.3,18.1,1.0,0.0,0
14.2,8.3,8.9,32.1,18.1,1.0,0.0,0
12.3,17.6,9.0,39.3,18.1,1.0,0.0,0
18.9,9.4,16.3,80.0,18.1,1.0,0.0,0
16.0,13.2,13.4,114.9,18.1,1.0,0.0,0
19.5,6.0,6.1,114.4,18.1,1.0,0.0,0
20.2,3.6,10.6,98.2,18.1,1.0,0.0,0
15.3,3.1,7.0,148.8,18.1,1.0,0.0,0
15.7,5.2,5.6,165.7,18.1,1.0,0.0,0
15.1,3.7,6.3,133.5,18.1,1.0,0.0,0
15.5,6.2,5.0,145.0,18.1,1.0,0.0,1
15.5,6.5,6.7,117.4,18.1,1.0,0.0,0
15.1,2.9,5.9,163.0,18.1,1.0,0.0,1
14.5,2.0,1.5,89.4,18.1,1.0,0.0,1
16.5,5.4,11.1,93.4,18.1,1.0,0.0,0
15.8,10.5,13.6,37.7,18.1,1.0,0.0,0
14.9,4.5,8.2,117.1,18.1,1.0,0.0,0
14.8,4.4,6.6,86.8,18.1,1.0,0.0,0
18.1,1.2,1.2,139.1,18.1,1.0,0.0,1
14.3,3.9,3.7,330.0,18.1,1.0,0.0,1
18.8,13.4,11.2,64.1,18.1,1.0,0.0,0
15.4,7.3,5.8,53.0,18.1,1.0,0.0,0
20.2,18.1,12.6,66.3,18.1,1.0,0.0,0
17.7,18.4,6.7,55.5,18.1,1.0,0.0,0
16.8,4.7,4.9,215.8,18.1,1.0,0.0,1
18.0,0.0,0.6,139.8,18.1,1.0,0.0,1
15.1,12.3,22.3,40.7,18.1,1.0,0.0,0
15.3,4.1,8.1,153.9,18.1,1.0,0.0,1
16.9,18.7,13.9,76.9,18.1,1.0,0.0,1
15.5,7.2,7.6,79.7,18.1,1.0,0.0,0
15.1,3.8,9.2,59.6,18.1,1.0,0.0,0
15.3,6.7,9.4,90.3,18.1,1.0,0.0,0
16.0,6.0,15.5,84.4,18.1,1.0,0.0,0
13.0,7.3,17.3,44.4,18.1,1.0,0.0,0
15.2,3.1,6.8,167.4,18.1,1.0,0.0,0
18.9,8.2,4.7,124.9,18.1,1.0,0.0,0
17.0,8.8,2.6,56.8,18.1,1.0,0.0,0
15.3,6.1,4.1,123.6,18.1,1.0,0.0,0
15.3,6.1,3.9,55.4,18.1,1.0,0.0,1
16.3,9.5,8.5,77.3,18.1,1.0,0.0,0
16.8,14.8,9.1,88.3,18.1,1.0,0.0,0
16.0,0.0,1.0,128.3,18.1,1.0,0.0,1
14.7,4.9,6.2,84.1,18.1,1.0,0.0,0
16.0,9.0,5.1,90.1,18.1,1.0,0.0,1
14.7,4.9,7.8,94.8,18.1,1.0,0.0,0
17.4,18.8,15.9,59.1,18.1,1.0,0.0,0
15.3,8.4,10.2,62.2,18.1,1.0,0.0,0
17.4,6.9,9.7,107.0,18.1,1.0,0.0,0
16.2,8.7,14.8,52.7,18.1,1.0,0.0,0
17.5,7.7,5.3,62.3,18.1,1.0,0.0,0
15.6,7.3,2.5,61.8,18.1,1.0,0.0,1
17.3,16.2,10.1,68.4,18.1,1.0,0.0,0
16.6,7.7,8.6,54.1,18.1,1.0,0.0,0
16.2,5.7,4.1,139.8,18.1,1.0,0.0,1
16.0,7.6,4.7,106.7,18.1,1.0,0.0,1
15.8,14.0,4.8,63.8,18.1,1.0,0.0,0
19.6,4.8,4.7,117.4,18.1,1.0,0.0,1
20.0,16.9,7.8,124.6,18.1,1.0,0.0,0
14.0,14.0,8.4,73.9,18.1,1.0,0.0,0
15.5,6.5,7.7,96.8,18.1,1.0,0.0,0
15.5,3.3,0.0,71.0,18.1,1.0,0.0,1
17.3,15.0,6.0,68.5,18.1,1.0,0.0,0
14.9,5.3,6.3,75.2,18.1,1.0,0.0,0
15.6,12.5,5.0,81.2,18.1,1.0,0.0,0
